GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1144294523,TicTacToe,0,GAME_OVER,8,7,2,74,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
2100098225,TicTacToe,0,GAME_OVER,6,5,2,75,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
23994827,TicTacToe,0,GAME_OVER,8,7,2,76,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1662792176,TicTacToe,0,GAME_OVER,6,5,2,77,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
2013120665,TicTacToe,0,GAME_OVER,6,5,2,78,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-1880183632,TicTacToe,0,GAME_OVER,6,5,2,79,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-1377239692,TicTacToe,0,GAME_OVER,6,5,2,80,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1795532617,TicTacToe,0,GAME_OVER,5,4,2,81,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
-1548656463,TicTacToe,0,GAME_OVER,9,8,2,82,1,random,1,1,1,BasicMCTS,random,0.0,0.0,BasicMCTS,BasicMCTS,random,-1
-653656736,TicTacToe,0,GAME_OVER,9,8,2,83,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
-400394132,TicTacToe,0,GAME_OVER,6,5,2,84,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-1422203009,TicTacToe,0,GAME_OVER,6,5,2,85,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-1113178468,TicTacToe,0,GAME_OVER,8,7,2,86,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-175367348,TicTacToe,0,GAME_OVER,6,5,2,87,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1362911089,TicTacToe,0,GAME_OVER,6,5,2,88,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-347120262,TicTacToe,0,GAME_OVER,6,5,2,89,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1416514647,TicTacToe,0,GAME_OVER,6,5,2,90,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-1570736736,TicTacToe,0,GAME_OVER,7,6,2,91,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
-1532681659,TicTacToe,0,GAME_OVER,6,5,2,92,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
2038358424,TicTacToe,0,GAME_OVER,6,5,2,93,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1950377550,TicTacToe,0,GAME_OVER,6,5,2,94,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-389679841,TicTacToe,0,GAME_OVER,6,5,2,95,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-1652369011,TicTacToe,0,GAME_OVER,5,4,2,96,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
649728961,TicTacToe,0,GAME_OVER,8,7,2,97,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1939385821,TicTacToe,0,GAME_OVER,8,7,2,98,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
-765151654,TicTacToe,0,GAME_OVER,7,6,2,99,2,random,2,1,1,BasicMCTS,random,-1.0,1.0,BasicMCTS,BasicMCTS,random,0
-382843140,TicTacToe,0,GAME_OVER,6,5,2,100,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
1616233144,TicTacToe,0,GAME_OVER,6,5,2,101,1,random,1,2,2,BasicMCTS,random,1.0,-1.0,BasicMCTS,BasicMCTS,random,1
